Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Franciska Rosenkilde,rosenkildefranciska,100063651522703,POLITICIAN,DK,Politisk leder af Alternativet,2015-02-07 20:00:39,4610,4774,2022-10-30 08:11:27 CET,2022-10-30,08:11:27,Native Video,315,225,9,18,59,0,0,0,1,3,owned,Yes,909,1065,0,00:00:11,https://www.facebook.com/100063651522703/posts/542380621226984,"9 … Fordi alle børn skal have gratis, grøn skolemad Alle børn skal have et grønt måltid skolemad. Vi ved, at sund, økologisk og grøn skolemad har en stor betydning på børns sundhed. Og for Alternativet handler sundhedspolitik ikke om lappeløsninger. Det handler om langsigtede løsninger. Derudover skaber gratis skolemad en bedre social balance – for der er desværre stadig børn, der ikke har forældre, som har ressourcer til at give deres børn en madpakke med. Stem på mig, hvis du mener, at alle børn skulle have et gratis grønt måltid i skolen.",https://www.facebook.com/rosenkildefranciska/videos/846050656575401/,,,,,,,,3.84
Sikandar Siddique,sikandar.siddique.politiker,100063606495233,POLITICIAN,DK," Former Member of Parliament (DK)
Political leader of Independent Greens
(Frie Grønne)",2021-01-08 10:52:15,17448,19290,2022-10-29 22:14:45 CEST,2022-10-29,22:14:45,Native Video,"1,148",459,378,54,43,0,190,1,18,5,owned,Yes,9505,10705,0,00:00:49,https://www.facebook.com/100063606495233/posts/542108517919360,"Skal vi sætte en stopper for den psykiske terror Paludan og hans ligesindede er for vores børn og lokalsamfund? Stop hadprædikanter fra at give børn traumer. Genindfør blasfemiparagraffen. Ved at fjerne den, lod magthaverne Rasmus Paludan rejse rundt på skoler og skræmme børn. Bryd med magten.",https://www.facebook.com/sikandar.siddique.politiker/videos/484770753426300/,,,,,,,,1.5
Morten Messerschmidt,MortenMesserschmidt,100044379401397,POLITICIAN,DK,"Velkommen til den officielle Facebook-side for Morten Messerschmidt. 

",2010-11-11 15:16:21,75308,78625,2022-10-29 22:00:04 CEST,2022-10-29,22:00:04,Photo,"1,260",364,361,299,0,12,98,6,119,1,,-,0,0,0,N/A,https://www.facebook.com/100044379401397/posts/675182673971040,"DET HER ER EN SKANDALE. Først vedtager et bredt flertal i folketinget, at man først vil hjælpe danskerne i det nye år. Og nu viser det sig så, at EU kan stå i vejen! Hvad sker der? Selvfølgelig skal EU ikke forhindre os i at hjælpe danskerne. Vi skal handle nu￼. Ikke i det nye år. Men NU.",https://www.facebook.com/photo.php?fbid=675182453971062&set=a.263201378502507&type=3,,"Ekstra Bladet KOB Samfund 7 timer Gem artikel Total energi-forvirring: Hjaelpepakke mangler OK fra EU EU Regeringens vinterhjaelpepakke, hvor energikunder kan fă udskudt deres regninger, skulle vaere sat i vaerk 1. november. november Men nu sảr en godkendelse i EU tvivl om, hvorvidt det kan lade sig gore Ekstra METTE METTEFREDERIKSEN FREDERIKSEN Bladet Statsminister(S) (S) Det forslag, vi laegger frem dag, vil lagge et loft over danskernes energiregninger til vinter. Annonce:",,,,,,-1.57
Franciska Rosenkilde,rosenkildefranciska,100063651522703,POLITICIAN,DK,Politisk leder af Alternativet,2015-02-07 20:00:39,4514,4678,2022-10-29 20:41:43 CEST,2022-10-29,20:41:43,Photo,427,304,17,29,74,0,1,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/100063651522703/posts/541994321265614,"Vi har ikke råd til at lade være! Rent drikkevand er en grundlæggende ressource, som vi ikke har taget alvorligt nok længe. Nu viser der sig bred enighed om, at der skal gøres noget drastisk. Det glæder os i Alternativet. Her i valgkampens slutspurt løftes klimaambitionerne bredt blandt Folketingets partier. Vi er glade for, at der - endelig - meldes ambitiøst ud på flere områder. Og jeg kan love jer for, at Alternativet kommer til at holde Folketinget op på alle disse udmeldinger.",https://www.facebook.com/photo.php?fbid=541994237932289&set=a.239194704878912&type=3,,"En samletı rod blok står bag forslaget, der vaekker vredei landbruget og glade pả vandvaerkerne. Flere sager viser, at sprojteforbud kan blive dyrt Vandveerkerne er begejstrede for forslaget om pesticidforbud vigtige drikkevandsområder. Og de er glade for, at staten skal betale, for det kan blive dyrt. AUTOMATISK OPLASNING Foto Thomas Foto:ThomasBorberg Borberg",,,,,,1.83
Alex Vanopslagh,AlexLiberalAlliance,100044413450282,POLITICIAN,DK,Formand for Liberal Alliance ,2017-06-06 19:57:54,101351,117614,2022-10-29 20:02:43 CEST,2022-10-29,20:02:43,Native Video,"3,157",2689,285,106,63,0,8,2,3,1,owned,Yes,19153,22881,0,00:00:24,https://www.facebook.com/100044413450282/posts/690759039081205,Stem på en ny start for Danmark d. 1. november.,https://www.facebook.com/AlexLiberalAlliance/videos/1114659959179073/,,,,,,,,-1.27
Jakob Ellemann-Jensen,jakobellemann,100044564643750,POLITICIAN,DK,"Venstres formand
Medlem af Folketinget",2016-05-04 09:50:59,44512,52614,2022-10-29 20:02:18 CEST,2022-10-29,20:02:18,Photo,"2,236",2066,59,21,50,0,4,0,1,35,,-,0,0,0,N/A,https://www.facebook.com/100044564643750/posts/659373358891480,"Støt Knæk Cancer. Kræft er en forfærdelig sygdom, som kan ramme os alle. Faktisk får en ud af tre danskere konstateret kræft i løbet af deres liv. Jeg har selv haft kræft tæt inde på livet både hos venner og familie. Nogen klarede den. Andre savner jeg voldsomt. Min far havde kræft i mange år. Heldigvis levede han i en del år, fra han fik sin første diagnose, og han var særdeles aktiv lige til det sidste. Og det er en vigtig pointe! For årtiers forskning har betydet, at mange lever længere med en kræftdiagnose, og rigtig mange overlever diagnosen. Der sker hele tiden fremskridt. Og dem skal vi hjælpe på vej. Både politisk, men også ved at støtte gennem Knæk Cancer. Det tror jeg, vi alle kan blive enige om, uanset hvem man giver sin stemme på tirsdag.",https://www.facebook.com/photo.php?fbid=659372745558208&set=a.344944807001005&type=3,,,,,,,,-1.11
Mai Villadsen,Mai.Villadsen.Enhedslisten,100058145316378,POLITICIAN,DK,"Politisk ordfører for Enhedslisten.
Arbejder for bedre velfærd, mere klimahandling og mindre ulighed!",2019-01-24 15:51:16,20890,22421,2022-10-29 19:20:06 CEST,2022-10-29,19:20:06,Photo,760,596,54,32,65,0,6,1,1,5,,-,0,0,0,N/A,https://www.facebook.com/100058145316378/posts/525185672762939,"Ingen skal frygte for tandlægeregningen. Ligesom vi kan gå gratis til lægen og på hospitalet, bør alle også kunne gå gratis til tandlægen. Derfor er jeg stolt over, at vi har sikret gratis tandlæge til de 18-21 årige. En konkret udvidelse af velfærden 🦷🪥 Men vi stopper ikke her - det er selvfølgelig kun begyndelsen 💪🏼 For i dag er befolkningen splittet op i et A-hold og et B-hold: Dem, der har råd til sunde tænder og dem, der ikke har. Sundhed og sygdom i munden er systematisk skævt fordelt i vores samfund. Sådan skal det ikke være. Vi skal den sociale ulighed i sundhed til livs og gøre tandlægen skattebetalt for alle 🙏🏼 Enhedslisten fortsætter med at presse på! 🦷❤️",https://www.facebook.com/photo.php?fbid=525185639429609&set=a.261042152510627&type=3,,,,,,,,-1.25
"Marianne Karlsmose, KD-politiker",MarianneKarlsmose,100063856775068,POLITICIAN,DK,"Mor til 3
stud. socialrådgiver
Landsformand for KD, Regionsrådsmedlem
kd.dk/marianne-karlsmose",2019-02-02 13:54:33,1981,2193,2022-10-29 19:02:28 CEST,2022-10-29,19:02:28,Photo,149,121,9,13,6,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063856775068/posts/509818754490013,"Stor og ærlig artikel i Dagbladet Ringkøbing-Skjern om min valgkamp indtil nu. Tag ikke fejl. Jeg ER fuld af energi, kampgejst og optimisme forud for de sidste partilederrunder. Er sikker på, at langt flere end 2 % af befolkningen ønsker KD i folketinget. Lad nu ikke meningsmålingerne diktere - stem efter din overbevisning. KD-kraften lever.",https://www.facebook.com/photo.php?fbid=509818671156688&set=a.221531073318784&type=3,,"出冊 For abonnenter RINGKOBING-SKJERN Kampgejst trods modvind og mogsager: Partiformanden har taget boksehandskerne pả til slutspurten, selv om hun egentlig helst var fri",,,,,,1.46
Pernille Vermund,PernilleVermundNB,100044133429064,POLITICIAN,DK,Formand for Nye Borgerlige og medlem af Folketinget ,2019-11-13 14:36:58,103395,133103,2022-10-29 18:35:06 CEST,2022-10-29,18:35:06,Photo,"3,343",2517,252,87,266,1,7,1,2,210,,-,0,0,0,N/A,https://www.facebook.com/100044133429064/posts/655542279260214,"KNÆK CANCER - NÆSTE STOP PSYKIATRIEN Hele min verden ramlede, da min far for nogle år siden blev diagnosticeret med kræft. Min far lever sundt. Han træner fem gange om ugen, drikker ikke alkohol og har ikke røget, siden han fik børnebørn. Men kræften ramte ham. Den ramte os, som familie. Selv om jeg er voksen og har egne børn, så var tanken om at skulle fortsætte livet uden ham ubærlig. Vi var heldige. Min far overlevede. Han opdagede sygdommen tidligt. Og takket være dygtigt sundhedspersonale og kræftpakkerne gennemført under tidligere borgerlige regeringer, som sikrer patienterne et hurtigt behandlingsforløb uden unødig ventetid, var min far opereret og erklæret symptomfri kun få uger efter, han første gang mødte op til undersøgelse. At min far kom rask igennem sit kræftforløb er uvurderligt for mig. Jeg tænker ofte på, at jeg var ‘heldig’, at det netop var en politisk prioriteret sygdom, der ramte vores familie. Tænk, hvis min far havde været en af de hundrede tusindvis af danskere, der bliver ramt af psykiske lidelser. Han havde formentlig ikke været rask endnu. Og mon jeg overhovedet havde turde skrive og tale offentligt om det? At være psykisk syg er stadig et tabu i Danmark. Det til trods for, at psykiske sygdomme udgør 25% af den samlede sygdomsbyrde. Til sammenligning udgør kræft ca. 17%. Det er på tide, at vi prioriterer psykiske lidelser og danskernes mentale velfærd lige så højt, som vi prioriterer vores fysiske helbred. I Nye Borgerlige vil vi sidestille psykiske sygdomme med fysiske lidelser og arbejde for en behandlingsgaranti i psykiatrien. Vi vil have uddannet flere skolepsykologer og afsætte flere midler til forskning, så vi kan hæve det faglige niveau i psykiatrien. Og så skal der naturligvis afsættes penge til flere sengepladser. I aften ser mange danskere ‘Knæk cancer’ på TV. Det er godt. Kampen for at kurere kræft skal fortsætte. Jeg håber, at vi en dag i den nærmeste fremtid har fået sat samme fokus på psykiatrien og kan knække kurven for psykiske lidelser. Det skylder vi hinanden ❤️ #KnækCancer",https://www.facebook.com/photo.php?fbid=655541942593581&set=a.382515529896225&type=3,,,,,,,,-1.67
Pia Olsen Dyhr,pia.olsen.dyhr,100044404390308,POLITICIAN,DK,Formand for SF,2008-11-19 09:16:45,84779,86765,2022-10-29 18:24:52 CEST,2022-10-29,18:24:52,Photo,880,712,100,5,54,0,1,0,3,5,,-,0,0,0,N/A,https://www.facebook.com/100044404390308/posts/667725381384269,"Jeg har simpelthen haft endnu en skøn dag i valgkamp, med herlige SF'ere og gode samtaler med danskere i Køge, i Tårnby, i Albertslund, i Rødovre og i Lyngby. Nu tror jeg alle, vi kan mærke at valgdagen nærmer sig. Trætheden sniger sig ind, og spændingen stiger. Nu tager jeg en stille aften - men her lidt billeder fra dagen.",https://www.facebook.com/photo.php?fbid=667724628051011&set=a.349705203186290&type=3,,,Photos from Pia Olsen Dyhr's post,,,,,-2.33
Lars Løkke Rasmussen,larsloekke,100044390410889,POLITICIAN,DK,"MF, tidligere statsminister, stifter af LøkkeFonden, initiativtager til Det Politiske Mødested",2009-03-17 11:35:11,212993,213954,2022-10-29 16:45:31 CEST,2022-10-29,16:45:31,Photo,"3,072",2317,515,42,144,5,28,2,8,11,,-,0,0,0,N/A,https://www.facebook.com/100044390410889/posts/668646717958336,"Dejligt at have Sólrun med tidligere på dagen, hvor over 200 moderater spiste brunch sammen på @restaurantgorilla inden vi kastede os ud i valgkampens slutspurt. Uden opbakning fra hende havde jeg aldrig taget initiativ til Det Politiske Mødested for snart to år siden og et nyt parti, Moderaterne, på grundlovsdag i år. Det har gået stærkt, været arbejdsomt og på alle måder spændende og interessant. Og nu er vi snart ved målstregen - om 75 timer lukker valglokalerne, og vi kender resultatet af alle anstrengelserne: Lykkes det at bryde stilstanden i dansk politik, så vi får en regering, som seriøst tør tage hul på forandringer fra midten, der kan sikre, at vi giver en stærkere Danmark videre til næste generation? Jeg håber og tror på det. Men jeg ved også, at en stemme på Moderaterne er den eneste garanti for det. Alt tyder nemlig på, at Socialdemokratiet er på vej tilbage til det, der var plan A indtil valget blev udskrevet: En socialdemokratisk etparti-regering, hvilket er det, Danmark har mindst brug for. Derfor lader vi os ikke kyse af skræmmekampagner, der forsøger at putte os i en bås. Moderaterne er i født i kærlighed til ‘den danske samfundsmodel’, men vi ved også, at den skal justeres og vedligeholdelse, hvis den skal kunne levere i en ikke fjern fremtid, hvor vi bliver markante flere ældre og færre i den erhvervsaktive alder. God weekend.",https://www.facebook.com/photo.php?fbid=668646697958338&set=a.349440299878981&type=3,,,,,,,,1.37
Sikandar Siddique,sikandar.siddique.politiker,100063606495233,POLITICIAN,DK," Former Member of Parliament (DK)
Political leader of Independent Greens
(Frie Grønne)",2021-01-08 10:52:15,17448,19290,2022-10-29 16:22:52 CEST,2022-10-29,16:22:52,Native Video,897,477,171,72,53,1,98,2,23,0,owned,Yes,17518,19177,0,00:00:57,https://www.facebook.com/100063606495233/posts/541836764613202,"Tjek de her fede unge kunstnere, som har skrevet en alt for genial rap til Frie Grønne. Det er jo for vildt! Jeg fik lov til at være med på nummeret, og selvom jeg på ingen måde kan hamle op med de unge drenge her, er jeg altså helt vild mere resultatet. 😃 Og bare fordi, de kan, har de selvfølgelig også lavet en blæret video til. Se den lige. ✊🏽💚",https://www.facebook.com/sikandar.siddique.politiker/videos/1091180038267970/,,,,,,,,1.17
Franciska Rosenkilde,rosenkildefranciska,100063651522703,POLITICIAN,DK,Politisk leder af Alternativet,2015-02-07 20:00:39,4514,4678,2022-10-29 16:17:41 CEST,2022-10-29,16:17:41,Photo,"1,084",710,96,39,232,0,1,0,1,5,,-,0,0,0,N/A,https://www.facebook.com/100063651522703/posts/541814537950259,"Jeg har været politisk leder i godt halvandet år nu. Og sikke en tur! Der er mange mennesker, som har betydet meget på den rejse, vi har haft hertil. Én, jeg dog har brug for at fremhæve, det er Torsten Gejl. Han holdt fast, da få gjorde det. Og han har kæmpet stenhårdt for Alternativet - og for at skubbe på den socialt bæredygtige grønne omstilling i Folketinget. Hvis du bor i Østjylland, så overvej, om ikke han skal have din stemme!",https://www.facebook.com/photo.php?fbid=541814401283606&set=a.239194704878912&type=3,,,,,,,,4.65
"Marianne Karlsmose, KD-politiker",MarianneKarlsmose,100063856775068,POLITICIAN,DK,"Mor til 3
stud. socialrådgiver
Landsformand for KD, Regionsrådsmedlem
kd.dk/marianne-karlsmose",2019-02-02 13:54:33,1981,2193,2022-10-29 16:10:13 CEST,2022-10-29,16:10:13,Live Video Complete,60,48,1,4,7,0,0,0,0,0,owned,Yes,675,748,0,00:01:21,https://www.facebook.com/100063856775068/posts/535417908396432,,https://www.facebook.com/MarianneKarlsmose/videos/535417908396432/,,,,,,,,-1.33
Mette Frederiksen,mettefrederiksen.dk,100044576643050,POLITICIAN,DK,Statsminister og formand for Socialdemokratiet. Jeg fører ikke profilen som statsminister. ,2009-03-12 21:24:01,340258,384619,2022-10-29 16:03:06 CEST,2022-10-29,16:03:06,Native Video,"2,251",834,291,181,31,1,907,0,5,1,share,No,26289,303722,0,00:01:14,https://www.facebook.com/100044576643050/posts/675833797245836,Har fået endnu en udfordrer. Smadremanden foreslår at flytte Marienborg til Otterup 😅,https://www.facebook.com/Zirkusnemo/videos/5965229590154942/,,,Zirkus Nemo,Så har Danmark fire statsminister-kandidater 🥰🎪,,,,-1.13
Morten Messerschmidt,MortenMesserschmidt,100044379401397,POLITICIAN,DK,"Velkommen til den officielle Facebook-side for Morten Messerschmidt. 

",2010-11-11 15:16:21,75308,78625,2022-10-29 16:01:05 CEST,2022-10-29,16:01:05,Photo,"2,260",1560,288,176,213,1,3,0,0,19,,-,0,0,0,N/A,https://www.facebook.com/100044379401397/posts/674974303991877,"Ældrepolitik er ikke bare en mærkesag. Det er en hjertesag. Dansk Folkeparti vil have vedtaget en egentlig ældrelov med faste garantier for alle vore ældre. Faste hjemmehjælpere i ældreplejen, så ældre mødes af de samme, få hjemmehjælpere. Det skaber større tryghed for den ældre og forbedrer kvaliteten af den pleje, der gives, når hjælperne kender borgeren. Plejehjemsgaranti for alle ældre over 80. Ret til et dagligt bad og til ugentlig rengøring. Udvidelse af klippekortsordningen. Dansk Folkeparti ønsker to timers hjælp til alle ældre om måneden til fri disponering, hvorved der skal være mulighed for valgfrit at vælge serviceydelser i det offentlige, private, gennem frivillige foreninger eller de pårørende.",https://www.facebook.com/photo.php?fbid=674974273991880&set=a.263201358502509&type=3,,,,,,,,1.15
Inger Støjberg,IngerStojberg,100044534615134,POLITICIAN,DK,"Student fra Morsø Gymnasium
Uddannet fra InformationsAkademiet
MBA (Master of Business Administration), Aalborg Universitet, 2013
Redaktør på Viborg Bladet (1999-2001)
Amtsrådsmedlem (1994-2001)
Medlem af Folketinget (2001-
Beskæftigelsesminister(2009-2011)",2011-05-10 07:43:02,200614,217810,2022-10-29 14:42:24 CEST,2022-10-29,14:42:24,Photo,"17,281",11308,3613,631,1374,13,97,7,104,134,,-,0,0,0,N/A,https://www.facebook.com/100044534615134/posts/678541656973649,"For et år siden sad jeg i Rigsretten. Det gjorde jeg, fordi jeg havde beskyttet nogle piger mod potentielle overgreb fra deres ældre mænd. Jeg blev idømt 60 dages ubetinget fængsel. En straf som jeg tog med oprejst pande, og 60 dage som jeg afsonede med godt humør og i en bevidsthed om, at hvis jeg havde vendt det blinde øje til, at barnebrude kunne blive udnyttet af deres ældre mænd mens jeg havde ansvaret for det, så skulle jeg have levet med det resten af mit liv. Jeg blev i stedet straffet for at gribe lidt for håndfast ind, og det kostede 60 dages frihed. Det er til at leve med. Jeg vil resten af mit liv bekæmpe det ækle fænomen som barnebrude er. Jeg håber, at du vil gøre det samme❤️🇩🇰",https://www.facebook.com/photo.php?fbid=678539726973842&set=a.400326218128529&type=3,,,,,,,,1.76
Pia Olsen Dyhr,pia.olsen.dyhr,100044404390308,POLITICIAN,DK,Formand for SF,2008-11-19 09:16:45,84779,86765,2022-10-29 13:59:40 CEST,2022-10-29,13:59:40,Status,"4,039",3091,436,103,343,3,30,2,5,26,,-,0,0,0,N/A,https://www.facebook.com/100044404390308/posts/667546628068811,"SF, S, R, Ø og Å står i dag sammen om rent drikkevand og højere klimaambitioner. Vigtigt💪💚🌍",,,,,,,,,1.92
"Marianne Karlsmose, KD-politiker",MarianneKarlsmose,100063856775068,POLITICIAN,DK,"Mor til 3
stud. socialrådgiver
Landsformand for KD, Regionsrådsmedlem
kd.dk/marianne-karlsmose",2019-02-02 13:54:33,1981,2193,2022-10-29 13:14:42 CEST,2022-10-29,13:14:42,Native Video,131,84,11,35,1,0,0,0,0,0,owned,Yes,613,1692,0,00:00:31,https://www.facebook.com/100063856775068/posts/509568774515011,"Din lokale vestjyde skal på Christiansborg! Lad mig være din stemme på Borgen. 👉 For det enkelte menneskes værdi og for næstekærlighed 👉 For familier, der trives. Giv familierne frihed til at skabe en god hverdag og frihed til at være hjemme når børnene er syge. 👉 For en værdig psykiatri for alle med tidlig indsats og den rette hjælp hurtigt. Pårørende skal inddrages mere. 👉 For et bæredygtigt og nært sundhedsvæsen i HELE Danmark. 👉 For et stærkt erhvervsliv i HELE Danmark. Stem på Marianne Karlsmose ❎ Sæt kryds ved KD den 1. november 🌞",https://www.facebook.com/MarianneKarlsmose/videos/411299884380164/,,,,,,,,4.52
Franciska Rosenkilde,rosenkildefranciska,100063651522703,POLITICIAN,DK,Politisk leder af Alternativet,2015-02-07 20:00:39,4514,4678,2022-10-29 12:30:26 CEST,2022-10-29,12:30:26,Native Video,204,134,3,7,23,0,36,0,1,0,owned,Yes,929,987,0,00:00:23,https://www.facebook.com/100063651522703/posts/541642617967451,"Du har måske opdaget, at jeg deler mine 10 personlige mærkesager på mine sociale medier i øjeblikket. Det var en god dag, da vi skød videoerne - sjovest, når det kiksede, og det sker jo ;-) God lørdag!",https://www.facebook.com/rosenkildefranciska/videos/435996621990332/,,,,,,,,2.49
Alex Vanopslagh,AlexLiberalAlliance,100044413450282,POLITICIAN,DK,Formand for Liberal Alliance ,2017-06-06 19:57:54,101351,117614,2022-10-29 12:02:01 CEST,2022-10-29,12:02:01,Photo,"5,494",4580,443,380,63,6,13,2,5,2,,-,0,0,0,N/A,https://www.facebook.com/100044413450282/posts/690478109109298,"Det er ikke kun os borgerlige, der kan se, at den er gal med Mette Frederiksens regerings forhold til magten. Det minder vi Informations læsere om i en dobbeltsidet annonce i dag.",https://www.facebook.com/photo.php?fbid=690478075775968&set=a.389425369214575&type=3,,,,,,,,1.09
"Marianne Karlsmose, KD-politiker",MarianneKarlsmose,100063856775068,POLITICIAN,DK,"Mor til 3
stud. socialrådgiver
Landsformand for KD, Regionsrådsmedlem
kd.dk/marianne-karlsmose",2019-02-02 13:54:33,1981,2193,2022-10-29 11:38:55 CEST,2022-10-29,11:38:55,Photo,37,31,1,3,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063856775068/posts/509517574520131,,https://www.facebook.com/photo.php?fbid=445772867684850&set=a.203370325258440&type=3,,Fordi alle har vaerdi! K udlaendinge. NEJ til 24 ars reglen. JA til danskere gift med K ydergraenser- IKKE Rwanda. JA til fair asylbehandling ved EU's K JA til 1000 FN kvoteflygtninge arligt. NEJ til adskillelse af familier. K JA til frivillig hiemsendelse-IKKE tvang til usikre lande fx. Syrien. Birgit Jakobsen K DEMOKRATERNE VI ELSKER LIVET kristen fordi,Birgit Jakobsen,LAD OS FÅ EN VÆRDIG UDLÆNDINGEPOLITIK ‼️,,,,-2.76
Sikandar Siddique,sikandar.siddique.politiker,100063606495233,POLITICIAN,DK," Former Member of Parliament (DK)
Political leader of Independent Greens
(Frie Grønne)",2021-01-08 10:52:15,17448,19290,2022-10-29 10:57:39 CEST,2022-10-29,10:57:39,Photo,"1,685",1041,297,86,234,1,13,1,1,11,,-,0,0,0,N/A,https://www.facebook.com/100063606495233/posts/541606594636219,"Kære palæstinensiske søstre og brødre, I har lidt så meget. Og I lider stadigvæk. Lider under den umenneskelige, terroriserende besættelse af jeres land af terror-staten Israel. Lider under den vestlige verdens benægtelse af den besættelse og undertrykkelse. Jeg besøgte det smukke land for tre måneder siden. Så hvordan Israels apartheid-system ikke bare voldeligt undertrykker palæstinensere hver dag, men også psykisk terroriserer hver eneste palæstinenser. Høj som lav. Børn som bedsteforældre. Der går ikke en dag, hvor mine tanker ikke går til de millioner af mennesker, som lever midt i terroren. Midt i undertrykkelse og mørket. Og der går ikke en dag, hvor jeg ikke tænker på alle jer tusinder af palæstinensere i Danmark. Mange af jer har slet ikke muligheden for at besøge det vidunderlige land, I stammer fra. Så vidtrækkende er Israels undertrykkelse og den internationale accept af deres apartheid. Jer som skulle forestille frie mennesker i Danmark, kan ikke holde om jeres palæstinensiske familiemedlemmer, når de endnu engang har fået deres hjem ødelagt eller det, der er værre, af besættelsesmagten. Min egen rejse til Palæstina har ændret mit liv. Jeres sag har altid stået mit hjerte nært, men efter at have set og oplevet bare et glimt af den virkelighed, jeres brødre og søstre - vores brødre og søstre - lever i, kan jeg uden at blinke love jer, at jeg ikke stopper med at kæmpe sammen med jer i jeres kamp. Kampen for frihed, værdighed, respekt og anerkendelse. Kampen for at få lov til at eksistere. Israel er en krigsforbryderisk terrorstat. Slet og ret. Og det er en sort plet på vores historie her i Danmark, at vi ser stiltiende med. Ja, faktisk tager vores statsminister ned og trykker hånd med de krigsforbryderiske ledere. Jeg har med Frie Grønne fremsat et forslag i Folketingssalen om, at Danmark skal boykotte Israel økonomisk og politisk. Ingen andre partier stemte for. Frie Grønne var 1 stemme fra at få en Palæstinas Plads i København. 1 stemme. Men der var ikke opbakning nok. Så der er lang vej foran os. Men jeg lover jer, at Frie Grønne aldrig stopper med at kæmpe for jeres sag. Så længe jeg har en stemme, vil jeg råbe op for jeres frihed, jeres rettigheder, jeres liv. Frit Palæstina. ✊🏽❤️",https://www.facebook.com/photo.php?fbid=541606551302890&set=a.237123328417882&type=3,,,,,,,,2.31
Pernille Vermund,PernilleVermundNB,100044133429064,POLITICIAN,DK,Formand for Nye Borgerlige og medlem af Folketinget ,2019-11-13 14:36:58,103395,133103,2022-10-29 10:28:07 CEST,2022-10-29,10:28:07,Photo,"4,973",3925,435,304,253,4,34,2,7,9,,-,0,0,0,N/A,https://www.facebook.com/100044133429064/posts/655244639289978,"5.900 KR MERE TIL FORBRUG ELLER OPSPARING OM MÅNEDEN Da Jan gik hjem fra arbejde på værkstedet i går, nød han en god øl og sendte mig dette billede. For Jan og mange andre danskere er valget på tirsdag et valg, der i høj grad handler om økonomi og økonomisk ansvarlighed. Danmark skal føres trygt igennem krisen, og danskerne skal have en hverdag med mere luft i budgettet. I Nye Borgerlige mener vi, at de første 90.000 kroner du tjener om året skal være skattefri. Derefter skal du have en flad skat på 37%. At du kan få flere penge til dig selv vil vi finansiere ved, at vi politikere bruger færre af dine penge i det offentlige. Unødvendigt bureaukrati og tåbeligt projektmageri skal skæres væk. Jobcentrene skal lukkes. DR skal privatiseres. Mediestøtten skal afskaffes. Planøkonomiske erhvervsstøtteordninger skal udfases. Og så skal udlændinge naturligvis forsørge sig selv. Det er nogle af de forandringer, vi i Nye Borgerlige vil gennemføre, så vi kan få Danmark trygt gennem krisen og skatten ned for alle danskere. Vi vil fjerne arbejdsmarkedsbidraget, registreringsafgiften, arveafgiften og en række afgifter på forbrugsvarer. Afgifter på eks. el og benzin skal naturligvis også ned. Og så skal ældrechecken hæves med 1.000 kroner om måneden for de folkepensionister, der har allermindst. Hvis vi i Danmark gennemfører Nye Borgerliges økonomiske politik, så vil en almindelig arbejderfamilie med to børn få 5.900 kroner mere til sig selv om måneden. Nu vil venstrefløjen måske prøve at bilde dig ind, at det vil går ud over kernevelfærden; at vi vil spare på sygeplejersker, politibetjente og pædagoger. Men det passer ikke. Vi har med vores økonomiske plan afsat 43 milliarder ekstra til kernevelfærd - til sundhed, psykiatri, ældre, børn og uddannelse frem mod 2035. Og er du sygeplejerske, politibetjent eller pædagog, så vil din familie naturligvis også få en lettere hverdag, hvis I har 5.900 kroner mere til opsparing eller forbrug om måneden. Det er da værd at overveje, når man nyder en god øl. Synes du ikke?",https://www.facebook.com/photo.php?fbid=655229432624832&set=a.382515529896225&type=3,,BR ERMUND Pilsner VERMUND OL,,,,,,-1.12
