Parti,Total Interactions,Likes,All Reactions,Comments,Shares,Owned Post Views,Owned Views from Shares,Owned Total Views,Views on Shared Posts,Views While Live,Video Time,3-Min+ Videos,Loves,Wows,Hahas,Sads,Angrys,Cares,Total Posts,Photo Posts,Link Posts,Status Posts,Owned Video Posts,Shared Video Posts,Other Video Posts,Page Likes,Page Growth,Page Followers,Page Follower Growth,Antal sider,Month,Totale interaktioner per opslag,Kommentarer per opslag,Delinger per opslag,Videovisninger per videoopslag,Interaktion per post per følger,Interaktion per følger,Angry per opslag,Love per opslag,Reaktioner per post,Andel foto post af total,Andel link post af total,Andel tekst post af total,Andel owned video post af total,Andel delte video post af total,Andel andre video post af total,Blok
Nye Borgerlige,72165,43618,52644,9141,10380,150712,225253,375965,10201,0,19,3,2348,424,1184,796,4274,0,687,324,297,29,13,24,0,127551,3194,131560,3358,113,20190115,105,13,15,11593,0,01,"6,2","3,4",77,"47,16%","43,23%","4,22%","1,89%","3,49%","0,00%",Blå blok
Radikale Venstre,183098,113574,135979,24923,22196,635997,394244,1030241,111765,17362,76,1,6138,1776,3391,4763,6337,0,1763,704,705,70,102,170,12,516299,4548,519361,5070,236,20190115,104,14,13,6235,0,0,"3,6","3,5",77,"39,93%","39,99%","3,97%","5,79%","9,64%","0,68%",Rød blok
Socialdemokratiet,326228,194860,218417,37531,70280,1823511,367690,2191201,86578,15723,124,7,9357,1573,3119,4025,5482,1,2757,1205,1049,135,142,211,15,991120,5923,995341,5963,563,20190115,118,14,25,12842,0,0,"2,0","3,4",79,"43,71%","38,05%","4,90%","5,15%","7,65%","0,54%",Rød blok
Socialistisk Folkeparti,205322,125397,154163,28785,22374,417878,419301,837179,14870,3466,128,11,12289,943,1322,6428,7769,15,1493,595,613,96,68,118,3,426894,4551,423642,4734,325,20190115,138,19,15,6145,0,0,"5,2","8,2",103,"39,85%","41,06%","6,43%","4,55%","7,90%","0,20%",Rød blok
Veganerpartiet,11201,3542,5914,3765,1522,64812,131041,195853,1730,18918,49,4,1238,93,256,522,263,0,29,8,1,1,18,1,0,0,0,4833,533,8,20190115,386,130,52,3601,0,02,"9,1","42,7",204,"27,59%","3,45%","3,45%","62,07%","3,45%","0,00%",Rød blok
Venstre,251435,158285,188289,40679,22467,1406199,278207,1684406,89266,21939,86,9,7544,993,5289,1648,14529,1,2242,944,868,113,118,187,12,1032283,5939,1027343,6568,615,20190115,112,18,10,11917,0,0,"6,5","3,4",84,"42,11%","38,72%","5,04%","5,26%","8,34%","0,54%",Blå blok
Alternativet,43553,26747,33299,5206,5048,78816,34526,113342,33292,840,71,5,2754,347,596,1390,1465,0,1181,296,548,39,60,226,12,199678,1732,199140,2057,119,20190215,37,04,04,1314,0,0,"1,2","2,3",28,"25,06%","46,40%","3,30%","5,08%","19,14%","1,02%",Rød blok
Andet,65586,29455,42816,11210,11560,210268,110503,320771,9077,14927,17,2,2702,668,787,1514,7690,0,514,98,355,18,15,26,2,82617,4565,87464,4936,115,20190215,128,22,22,14018,0,01,"15,0","5,3",83,"19,07%","69,07%","3,50%","2,92%","5,06%","0,39%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20190215,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,350066,206711,250110,55438,44518,228391,136805,365196,56876,311,26,1,10162,1563,6852,2871,21951,0,1387,453,760,45,25,97,7,618391,2322,604974,2680,154,20190215,252,40,32,9136,0,01,"15,8","7,3",180,"32,66%","54,79%","3,24%","1,80%","6,99%","0,50%",Blå blok
Enhedslisten,113064,67022,84609,13870,14585,165028,331926,496954,32511,7254,23,2,4543,1039,1219,3378,7408,0,1187,363,655,52,28,83,6,347893,4461,347934,4904,163,20190215,95,12,12,5894,0,0,"6,2","3,8",71,"30,58%","55,18%","4,38%","2,36%","6,99%","0,51%",Rød blok
Frie Grønne,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,185,0,191,1,2,20190215,02,0,0,0,0,0,"0,0","0,0",02,"0,00%","100,00%","0,00%","0,00%","0,00%","0,00%",Rød blok
Konservative,126827,80711,95156,26322,5349,869359,180667,1050026,32846,10185,54,1,4746,607,2669,2541,3882,0,1439,614,564,52,92,111,6,321807,3473,354357,3139,478,20190215,88,18,04,9450,0,0,"2,7","3,3",66,"42,67%","39,19%","3,61%","6,39%","7,71%","0,42%",Blå blok
Kristendemokraterne,5122,3431,3643,415,1064,2158,4237,6395,2019,0,5,1,121,13,21,28,29,0,204,85,79,18,4,18,0,11233,265,11245,279,26,20190215,25,02,05,540,0,0,"0,1","0,6",18,"41,67%","38,73%","8,82%","1,96%","8,82%","0,00%",Blå blok
Liberal Alliance,29253,17367,20877,6903,1473,40599,9701,50300,20052,0,17,2,971,128,671,389,1351,0,481,145,227,52,14,39,4,261151,777,273150,916,186,20190215,61,14,03,2900,0,0,"2,8","2,0",43,"30,15%","47,19%","10,81%","2,91%","8,11%","0,83%",Blå blok
Moderaterne,1452,1070,1192,250,10,0,0,0,0,0,0,0,113,2,3,0,4,0,1,0,0,1,0,0,0,7453,-38,7491,-39,5,20190215,1452,250,10,0,0,0,"4,0","113,0",1192,"0,00%","0,00%","100,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,72473,43988,53845,9989,8639,89967,111873,201840,3570,2132,32,2,2444,427,1291,675,5020,0,828,343,380,30,29,42,4,129762,2212,133901,2339,113,20190215,88,12,10,3102,0,01,"6,1","3,0",65,"41,43%","45,89%","3,62%","3,50%","5,07%","0,48%",Blå blok
Radikale Venstre,197807,116477,142579,25404,29824,902227,407807,1310034,16370,3990,98,3,6021,1121,3666,6969,8323,2,1486,530,684,58,100,110,4,523374,7020,526987,7557,236,20190215,133,17,20,9022,0,0,"5,6","4,1",96,"35,67%","46,03%","3,90%","6,73%","7,40%","0,27%",Rød blok
Socialdemokratiet,214079,147834,166441,29173,18465,536079,148740,684819,47145,703,74,2,6799,1315,2788,3154,4550,1,2355,1084,886,106,116,147,16,998479,7219,1002901,7416,563,20190215,91,12,08,4621,0,0,"1,9","2,9",71,"46,03%","37,62%","4,50%","4,93%","6,24%","0,68%",Rød blok
Socialistisk Folkeparti,201824,120383,159016,26247,16561,349542,198349,547891,9969,2519,49,1,7191,1476,2966,9310,17690,0,1504,669,591,87,66,82,9,431198,4148,428165,4362,325,20190215,134,17,11,5296,0,0,"11,8","4,8",106,"44,48%","39,30%","5,78%","4,39%","5,45%","0,60%",Rød blok
Veganerpartiet,3520,1731,2498,758,264,17708,13588,31296,0,9741,5,0,649,24,25,68,1,0,15,4,0,0,11,0,0,0,0,5020,158,8,20190215,235,51,18,1610,0,01,"0,1","43,3",167,"26,67%","0,00%","0,00%","73,33%","0,00%","0,00%",Rød blok
Venstre,156284,92983,113788,32814,9682,756905,152769,909674,117974,38219,55,5,3274,977,3750,1355,11449,0,1865,798,690,115,99,159,4,1039936,2409,1035696,2815,615,20190215,84,18,05,7646,0,0,"6,1","1,8",61,"42,79%","37,00%","6,17%","5,31%","8,53%","0,21%",Blå blok
Alternativet,62489,39233,47638,8243,6608,119384,136364,255748,41685,2890,146,14,4987,442,732,821,1423,0,1414,339,705,48,86,219,17,202129,2435,201818,2656,119,20190315,44,06,05,1388,0,0,"1,0","3,5",34,"23,97%","49,86%","3,39%","6,08%","15,49%","1,20%",Rød blok
Andet,83435,40612,56974,12296,14165,971445,113103,1084548,16358,3992,115,17,2952,745,1716,2323,8624,2,659,150,411,19,43,28,8,85157,2485,90460,2939,115,20190315,127,19,21,22592,0,01,"13,1","4,5",86,"22,76%","62,37%","2,88%","6,53%","4,25%","1,21%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20190315,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,434096,228333,296736,84472,52888,458582,605777,1064359,44173,5813,19,2,8878,2170,8457,3464,45434,0,1739,603,930,69,42,82,13,621012,2562,608321,3269,154,20190315,250,49,30,10919,0,01,"26,1","5,1",171,"34,68%","53,48%","3,97%","2,42%","4,72%","0,75%",Blå blok
Enhedslisten,154795,88717,113205,18293,23297,205089,190476,395565,62569,2802,116,11,7274,1631,934,3947,10702,0,1671,530,882,72,43,139,4,354454,3355,355182,3808,163,20190315,93,11,14,4770,0,0,"6,4","4,4",68,"31,72%","52,78%","4,31%","2,57%","8,32%","0,24%",Rød blok
Frie Grønne,5,5,5,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,186,1,190,-1,2,20190315,02,0,0,0,0,0,"0,0","0,0",02,"66,67%","0,00%","0,00%","0,00%","33,33%","0,00%",Rød blok
Konservative,163059,103999,124392,32331,6336,332498,99719,432217,25619,1723,132,9,7348,1344,3503,1443,6755,0,1803,935,563,71,122,105,7,326174,4201,358572,4059,478,20190315,90,18,04,2725,0,0,"3,8","4,1",69,"51,86%","31,23%","3,94%","6,77%","5,82%","0,39%",Blå blok
Kristendemokraterne,7388,5212,5470,487,1431,2976,4965,7941,1108,0,25,2,153,18,29,30,28,0,268,117,114,14,6,16,1,12258,899,12289,917,26,20190315,28,02,05,496,0,01,"0,1","0,6",20,"43,66%","42,54%","5,22%","2,24%","5,97%","0,37%",Blå blok
Liberal Alliance,45368,28496,34798,8270,2300,158370,39453,197823,16064,1946,28,1,1598,283,1720,926,1775,0,791,291,361,44,25,68,2,263433,899,275607,1050,186,20190315,57,10,03,6335,0,0,"2,2","2,0",44,"36,79%","45,64%","5,56%","3,16%","8,60%","0,25%",Blå blok
Moderaterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7443,-9,7481,-9,5,20190315,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,99628,60146,72986,13617,13025,124641,107702,232343,11288,7315,106,17,3357,553,1896,537,6492,5,974,409,393,43,46,75,8,132634,2780,136899,2878,113,20190315,102,14,13,2710,0,01,"6,7","3,5",75,"41,99%","40,35%","4,41%","4,72%","7,70%","0,82%",Blå blok
Radikale Venstre,287566,183033,222281,36603,28682,778337,529288,1307625,91015,11244,135,2,11820,1785,5943,9023,10676,1,2097,780,846,100,173,189,9,531137,7416,535632,8273,236,20190315,137,17,14,4499,0,01,"5,1","5,6",106,"37,20%","40,34%","4,77%","8,25%","9,01%","0,43%",Rød blok
Socialdemokratiet,316396,204858,235634,45961,34801,677991,327243,1005234,108891,2530,163,13,8233,1968,5971,4645,9957,2,3055,1502,1048,119,176,200,10,1006000,7397,1010622,7587,563,20190315,104,15,11,3852,0,0,"3,3","2,7",77,"49,17%","34,30%","3,90%","5,76%","6,55%","0,33%",Rød blok
Socialistisk Folkeparti,292966,189402,233840,28924,30202,452168,275873,728041,43321,2816,101,6,13310,1626,3190,13652,12651,9,2181,1155,615,126,122,152,11,441542,10277,439112,10867,325,20190315,134,13,14,3706,0,01,"5,8","6,1",107,"52,96%","28,20%","5,78%","5,59%","6,97%","0,50%",Rød blok
Veganerpartiet,9302,4645,6609,1712,981,168677,61556,230233,4445,11652,41,4,1690,19,95,126,34,0,44,7,5,1,23,8,0,0,0,5382,364,8,20190315,211,39,22,7334,0,02,"0,8","38,4",150,"15,91%","11,36%","2,27%","52,27%","18,18%","0,00%",Rød blok
Venstre,225831,142314,167998,42620,15213,1311868,251870,1563738,58350,26348,98,1,5092,1013,5797,1423,12358,1,2712,1309,883,128,181,198,13,1044568,4505,1040839,5006,615,20190315,83,16,06,7248,0,0,"4,6","1,9",62,"48,27%","32,56%","4,72%","6,67%","7,30%","0,48%",Blå blok
Alternativet,74494,43064,54893,9703,9898,365725,387682,753407,40861,5230,119,14,6381,357,1828,1520,1741,2,1285,375,605,63,78,148,16,203469,1286,202855,979,119,20190415,58,08,08,4689,0,0,"1,4","5,0",43,"29,18%","47,08%","4,90%","6,07%","11,52%","1,25%",Rød blok
Andet,91521,51132,65111,14483,11927,594533,90264,684797,4871,1429,321,39,3963,763,1396,1909,5948,0,816,204,406,92,73,32,9,90534,5233,96759,6111,115,20190415,112,18,15,8144,0,01,"7,3","4,9",80,"25,00%","49,75%","11,27%","8,95%","3,92%","1,10%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20190415,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,483087,257935,324368,116403,42316,164363,91128,255491,47735,11752,33,2,10123,2443,11299,4426,38142,0,1801,651,971,57,46,63,13,623542,2666,611618,3138,154,20190415,268,65,24,3573,0,01,"21,2","5,6",180,"36,15%","53,91%","3,16%","2,55%","3,50%","0,72%",Blå blok
Enhedslisten,165340,108865,130325,18297,16718,129860,120603,250463,19109,1946,41,3,9085,897,1557,4547,5372,2,1612,580,810,76,49,87,10,359379,4785,360703,5377,163,20190415,103,11,10,2650,0,0,"3,3","5,6",81,"35,98%","50,25%","4,71%","3,04%","5,40%","0,62%",Rød blok
Frie Grønne,19,16,17,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,4,4,0,0,0,0,186,0,184,-6,2,20190415,02,0,0,0,0,0,"0,0","0,0",02,"50,00%","50,00%","0,00%","0,00%","0,00%","0,00%",Rød blok
Konservative,178688,123545,143729,28394,6565,447615,49565,497180,22081,1599,150,12,7771,1287,3982,4141,3003,0,1774,969,535,83,119,57,11,329722,3398,362349,3064,478,20190415,101,16,04,3761,0,0,"1,7","4,4",81,"54,62%","30,16%","4,68%","6,71%","3,21%","0,62%",Blå blok
Kristendemokraterne,7121,4994,5432,444,1245,11744,10004,21748,5230,0,3,0,191,13,19,188,27,0,236,108,80,15,5,24,4,12953,666,13027,707,26,20190415,30,02,05,2349,0,01,"0,1","0,8",23,"45,76%","33,90%","6,36%","2,12%","10,17%","1,69%",Blå blok
Liberal Alliance,78790,37704,47012,10282,21496,1011274,1325375,2336649,25493,0,47,5,2499,368,5011,573,853,4,812,316,281,55,47,110,3,265197,1625,277244,1484,186,20190415,97,13,26,21516,0,0,"1,1","3,1",58,"38,92%","34,61%","6,77%","5,79%","13,55%","0,37%",Blå blok
Moderaterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7427,-15,7468,-12,5,20190415,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,107041,61174,76956,16063,14022,406235,390492,796727,9727,642,108,16,3389,877,1869,1390,8252,5,892,403,296,55,50,76,12,136128,3406,140885,3895,113,20190415,120,18,16,8125,0,01,"9,3","3,8",86,"45,18%","33,18%","6,17%","5,61%","8,52%","1,35%",Blå blok
Radikale Venstre,334136,208118,247443,48804,37889,1227862,464120,1691982,44581,6532,171,6,14326,1770,7834,7647,7748,0,1796,764,696,100,122,103,11,541007,9420,546244,10521,236,20190415,186,27,21,10064,0,01,"4,3","8,0",138,"42,54%","38,75%","5,57%","6,79%","5,73%","0,61%",Rød blok
Socialdemokratiet,375217,248577,283827,57461,33929,768989,305156,1074145,62108,4738,124,5,13460,2050,7280,4748,7712,0,3182,1589,1056,140,159,225,13,1004125,6554,1020216,7880,563,20190415,118,18,11,4836,0,0,"2,4","4,2",89,"49,94%","33,19%","4,40%","5,00%","7,07%","0,41%",Rød blok
Socialistisk Folkeparti,264265,183533,215498,30954,17813,661840,196004,857844,19112,648,78,2,14690,1316,2935,5785,7239,0,1908,959,603,97,116,128,5,447586,5850,443950,4859,325,20190415,139,16,09,5706,0,01,"3,8","7,7",113,"50,26%","31,60%","5,08%","6,08%","6,71%","0,26%",Rød blok
Veganerpartiet,9009,3330,5809,2128,1072,44905,38257,83162,3790,22075,51,2,1171,30,257,698,323,0,46,8,4,0,29,5,0,0,0,5678,289,8,20190415,196,46,23,1548,0,02,"7,0","25,5",126,"17,39%","8,70%","0,00%","63,04%","10,87%","0,00%",Rød blok
Venstre,259995,168403,196795,47718,15482,1546410,291022,1837432,68078,47698,331,24,8329,1120,7625,3153,8164,1,2505,1188,780,110,216,195,16,1049323,4608,1045900,5238,615,20190415,104,19,06,7159,0,0,"3,3","3,3",79,"47,43%","31,14%","4,39%","8,62%","7,78%","0,64%",Blå blok
Alternativet,162003,104706,127162,18015,16826,1044145,381371,1425516,101478,9487,359,16,15717,755,3670,1213,1101,0,2714,904,961,121,242,441,45,210772,7249,210876,7966,119,20190515,60,07,06,4315,0,01,"0,4","5,8",47,"33,31%","35,41%","4,46%","8,92%","16,25%","1,66%",Rød blok
Andet,144601,82672,101996,26262,16343,759615,311354,1070969,8648,2532,126,10,7748,802,2157,2422,6195,0,907,298,411,56,71,43,28,99028,8167,106557,9470,115,20190515,159,29,18,10699,0,01,"6,8","8,5",112,"32,86%","45,31%","6,17%","7,83%","4,74%","3,09%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20190515,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,746676,473008,553941,115499,77236,1539346,675974,2215320,140664,54885,140,2,20449,2942,14043,5700,37797,2,4099,1934,1406,120,240,370,29,627645,3793,616263,4526,154,20190515,182,28,19,6414,0,01,"9,2","5,0",135,"47,18%","34,30%","2,93%","5,86%","9,03%","0,71%",Blå blok
Enhedslisten,525038,355570,421179,45064,58795,882838,503850,1386688,96657,2863,244,8,37892,2006,4498,5307,15903,3,4642,2169,1594,207,208,441,23,378442,18874,381671,20739,163,20190515,113,10,13,4244,0,01,"3,4","8,2",91,"46,73%","34,34%","4,46%","4,48%","9,50%","0,50%",Rød blok
Frie Grønne,23,20,20,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,4,2,1,0,0,1,0,189,3,187,3,2,20190515,06,0,01,0,0,0,"0,0","0,0",05,"50,00%","25,00%","0,00%","0,00%","25,00%","0,00%",Rød blok
Konservative,407834,293587,333585,56855,17394,4356003,675822,5031825,46896,9083,720,31,16917,2069,11847,2773,6386,6,4927,2753,961,172,557,472,12,341213,11146,374306,11721,478,20190515,83,12,04,7820,0,01,"1,3","3,4",68,"55,88%","19,50%","3,49%","11,31%","9,58%","0,24%",Blå blok
Kristendemokraterne,63964,45953,50452,6412,7100,507012,137343,644355,19693,910,129,6,2573,202,1216,364,144,0,701,315,197,54,89,44,2,19345,6375,20167,7126,26,20190515,91,09,10,5697,0,03,"0,2","3,7",72,"44,94%","28,10%","7,70%","12,70%","6,28%","0,29%",Blå blok
Liberal Alliance,116663,79057,91899,18755,6009,1679700,306052,1985752,55150,1488,148,9,4833,299,6064,419,1227,0,1918,792,471,156,172,319,8,268996,3759,281464,4173,186,20190515,61,10,03,9766,0,0,"0,6","2,5",48,"41,29%","24,56%","8,13%","8,97%","16,63%","0,42%",Blå blok
Moderaterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7417,-10,7456,-10,5,20190515,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Nye Borgerlige,226408,136913,168376,27333,30699,896726,1186815,2083541,22772,3907,277,25,8501,1836,4200,1879,15046,1,1817,861,482,104,147,197,26,143069,6681,148164,6995,113,20190515,125,15,17,6100,0,02,"8,3","4,7",93,"47,39%","26,53%","5,72%","8,09%","10,84%","1,43%",Blå blok
Radikale Venstre,815780,543664,661035,100426,54319,4551957,1469936,6021893,180942,173902,530,38,52094,3264,27341,16442,18213,17,4929,2387,1277,257,548,430,30,573398,31966,583256,36609,236,20190515,166,20,11,8306,0,01,"3,7","10,6",134,"48,43%","25,91%","5,21%","11,12%","8,72%","0,61%",Rød blok
Socialdemokratiet,1088586,781937,879897,133497,75192,6337881,1888997,8226878,184398,74053,726,41,53219,3857,24859,6105,9906,14,7242,4200,1380,329,714,587,32,1030452,25814,1050553,29929,563,20190515,150,18,10,8877,0,01,"1,4","7,4",122,"58,00%","19,06%","4,54%","9,86%","8,11%","0,44%",Rød blok
Socialistisk Folkeparti,601381,430669,504535,64292,32554,1818499,630484,2448983,57963,4249,435,31,41347,1991,7595,12004,10928,1,4040,2254,789,253,351,373,19,466615,18845,464431,20220,325,20190515,149,16,08,5181,0,01,"2,7","10,2",125,"55,79%","19,53%","6,26%","8,69%","9,23%","0,47%",Rød blok
Veganerpartiet,8102,3103,5522,1847,733,40971,36742,77713,0,38554,4,1,1641,23,315,317,123,0,47,8,6,0,33,0,0,0,0,5964,280,8,20190515,172,39,16,1242,0,01,"2,6","34,9",117,"17,02%","12,77%","0,00%","70,21%","0,00%","0,00%",Rød blok
Venstre,913063,643911,730672,136421,45970,8096657,1585508,9682165,126340,164641,604,30,28258,2846,29203,4070,22379,5,7052,3961,1291,341,743,690,26,1067028,17168,1065677,19154,615,20190515,129,19,07,10897,0,01,"3,2","4,0",104,"56,17%","18,31%","4,84%","10,54%","9,78%","0,37%",Blå blok
Alternativet,74276,47096,58731,9350,6195,353425,84730,438155,15223,2446,122,9,7800,449,1200,1151,1034,1,1115,373,430,75,68,148,21,214119,2909,214049,2725,119,20190615,67,08,06,5197,0,0,"0,9","7,0",53,"33,45%","38,57%","6,73%","6,10%","13,27%","1,88%",Rød blok
Andet,79360,43676,56387,15653,7320,403619,158328,561947,21980,1634,66,5,4507,492,1682,1378,4651,1,508,148,245,33,35,27,20,103087,2120,111034,2294,115,20190615,156,31,14,11532,0,01,"9,2","8,9",111,"29,13%","48,23%","6,50%","6,89%","5,31%","3,94%",Andet
Danmarksdemokraterne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20190615,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Blå blok
Dansk Folkeparti,607716,313167,414995,122140,70581,806616,513404,1320020,69873,25979,126,7,16555,2533,14163,12970,55605,2,2187,910,860,116,136,158,7,630984,3084,620297,3682,154,20190615,278,56,32,5931,0,01,"25,4","7,6",190,"41,61%","39,32%","5,30%","6,22%","7,22%","0,32%",Blå blok
Enhedslisten,332832,234088,280828,33135,18869,369434,209518,578952,49848,3336,88,6,34406,1011,4564,3190,3568,1,2192,1099,717,99,100,167,9,389564,10352,392848,10224,163,20190615,152,15,09,3694,0,01,"1,6","15,7",128,"50,14%","32,71%","4,52%","4,56%","7,62%","0,41%",Rød blok
Frie Grønne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,2,189,2,2,20190615,0,0,0,0,0,0,"0,0","0,0",0,"0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",Rød blok
Konservative,217509,168559,187962,23524,6023,828390,216614,1045004,18499,40221,195,8,10719,803,4476,1977,1428,0,2000,1132,404,93,206,157,8,349321,5768,382409,5604,478,20190615,109,12,03,4021,0,01,"0,7","5,4",94,"56,60%","20,20%","4,65%","10,30%","7,85%","0,40%",Blå blok
Kristendemokraterne,32468,24320,26666,2901,2901,91819,30456,122275,8499,28,24,3,1647,97,171,331,100,0,277,147,74,17,26,11,2,21039,1500,21784,1435,26,20190615,117,10,10,3532,0,01,"0,4","6,0",96,"53,07%","26,71%","6,14%","9,39%","3,97%","0,72%",Blå blok
Liberal Alliance,106118,78091,89422,13374,3322,592443,184443,776886,66205,799,71,6,5421,300,3888,1177,545,0,935,387,250,91,52,136,19,276234,6884,289595,7649,186,20190615,114,14,04,11393,0,0,"0,6","5,8",96,"41,39%","26,74%","9,73%","5,56%","14,55%","2,03%",Blå blok
